RANGERDIST,REGION,FORESTNUMB,DISTRICTNU,DISTRICTOR,FORESTNAME,DISTRICTNA,GIS_ACRES,SHAPE_AREA,SHAPE_LEN
99040102010343,04,01,02,040102,Ashley National Forest,Vernal Ranger District,341243.293,0.147168562651,2.37928614112
99040104010343,04,01,04,040104,Ashley National Forest,Duchesne Ranger District,365909.58,0.156710049361,4.04325741745
99040101010343,04,01,01,040101,Ashley National Forest,Flaming Gorge Ranger District,354282.47,0.153415905656,4.38375889731
99040103010343,04,01,03,040103,Ashley National Forest,Roosevelt Ranger District,339843.916,0.146459275124,2.13473379446
99041404010343,04,14,04,041404,Sawtooth National Forest,Sawtooth National Recreation Area,812157.722,0.369012380556,3.67460127612
99041403010343,04,14,03,041403,Sawtooth National Forest,Ketchum Ranger District,329684.966,0.148913528454,2.95562698671
99041401010343,04,14,01,041401,Sawtooth National Forest,Minidoka Ranger District,632639.529,0.278916055586,6.27593354868
99041405010343,04,14,05,041405,Sawtooth National Forest,Fairfield Ranger District,415658.195,0.187529785627,2.90430332683
99041307010343,04,13,07,041307,Salmon-Challis National Forest,North Fork Ranger District,775711.031,0.360410158641,5.84595625845
99041304010343,04,13,04,041304,Salmon-Challis National Forest,Lost River Ranger District,814856.348,0.369608138046,8.65485281959
99041301010343,04,13,01,041301,Salmon-Challis National Forest,Salmon-Cobalt Ranger District,642333.136,0.296893169452,5.28236459439
99041306010343,04,13,06,041306,Salmon-Challis National Forest,Middle Fork Ranger District,1031514.731,0.473662524715,4.43095878648
99041302010343,04,13,02,041302,Salmon-Challis National Forest,Challis-Yankee Fork Ranger District,802944.588,0.367132748127,9.20857930419
99041202010343,04,12,02,041202,Payette National Forest,Weiser Ranger District,121902.543,0.0559792584015,1.70751750926
99041203010343,04,12,03,041203,Payette National Forest,New Meadows Ranger District,287112.721,0.13292519172700001,3.02910897459
99041206010343,04,12,06,041206,Payette National Forest,Krassel Ranger District,1065746.278,0.493408378568,4.86486020107
99040802010343,04,08,02,040802,Fishlake National Forest,Fremont River Ranger District,521162.663,0.217334061792,4.1677661109
99061604010343,06,16,04,061604,Wallowa-Whitman National Forest,Hells Canyon National Recreation Area,25115.876,0.303112725345,4.62247527715
99041906010343,04,19,06,041906,Uinta-Wasatch-Cache National Forest,Ogden Ranger District,584697.682,0.254676674064,4.16678175066
99041551010343,04,15,51,041551,Caribou-Targhee National Forest,Dubois Ranger District,458231.422,0.209234323207,6.11129731287
99040701010343,04,07,01,040701,Dixie National Forest,Pine Valley Ranger District,480979.935,0.198251684668,3.04800665715
99041004010343,04,10,04,041004,Manti-La Sal National Forest,Moab Ranger District,174410.272,0.0728616732244,2.96334542213
99041005010343,04,10,05,041005,Manti-La Sal National Forest,Monticello Ranger District,368813.081,0.152678670571,2.76104762904
99041308010343,04,13,08,041308,Salmon-Challis National Forest,Leadore Ranger District,329007.067,0.151242002854,5.73616628745
99041201010343,04,12,01,041201,Payette National Forest,Council Ranger District,375483.132,0.172986342789,3.70953695163
99041204010343,04,12,04,041204,Payette National Forest,McCall Ranger District,557061.762,0.25811892163,4.40993382705
99041710010343,04,17,10,041710,Humboldt-Toiyabe National Forest,Santa Rosa Ranger District,300732.722,0.131676903762,2.49742216896
99041709010343,04,17,09,041709,Humboldt-Toiyabe National Forest,Ely Ranger District,1024430.667,0.431049373076,7.39907279919
99040703010343,04,07,03,040703,Dixie National Forest,Powell Ranger District,388877.841,0.16100355292,3.27560101884
99040702010343,04,07,02,040702,Dixie National Forest,Cedar City Ranger District,404452.469,0.167155687878,2.52478000139
99040704010343,04,07,04,040704,Dixie National Forest,Escalante Ranger District,436975.062,0.181131048657,2.89126017941
99021008010343,02,10,08,021008,Arapaho and Roosevelt National Forests,Sulphur Ranger District,434938.618,0.18569170164,5.28405591097
99021510010343,02,15,10,021510,White River National Forest,Dillon Ranger District,389954.25,0.165556416847,2.67054829015
99060702010343,06,07,02,060702,Ochoco National Forest,Paulina Ranger District,383582.797,0.175147504592,3.68615874796
99060705010343,06,07,05,060705,Ochoco National Forest,Crooked River National Grassland,173645.752,0.0795233530821,2.84290410234
99061002010343,06,10,20,061020,Rogue River-Siskiyou National Forests,Siskiyou Mountains Ranger District,231329.697,0.101808285373,2.34481677714
99060902010343,06,09,02,060902,Olympic National Forest,Hood Canal Ranger District/Quilcene,157090.125,0.0764124430209,1.62231114626
99060901010343,06,09,01,060901,Olympic National Forest,Hood Canal Ranger District/Hoodsport,227473.768,0.109852578864,2.4090404404
99060903010343,06,09,03,060903,Olympic National Forest,Pacific Ranger District/Quinault,147023.65,0.0709879448083,2.81251935317
99061406010343,06,14,06,061406,Umatilla National Forest,Walla Walla Ranger District,408273.007,0.191076315665,4.82362317534
99061404010343,06,14,04,061404,Umatilla National Forest,Pomeroy Ranger District,347550.629,0.163651338524,3.66503504432
99061402010343,06,14,02,061402,Umatilla National Forest,Heppner Ranger District,229818.382,0.106162957848,3.40966605842
99061705010343,06,17,05,061705,Okanogan-Wenatchee National Forest,Entiat Ranger District,276563.766,0.134529820708,5.1941051191
99060501010343,06,05,01,060501,Mt. Baker-Snoqualmie National Forest,Mt. Baker Ranger District,556067.476,0.274718466172,6.60785118974
99061703010343,06,17,03,061703,Okanogan-Wenatchee National Forest,Cle Elum Ranger District,477292.641,0.229783756128,5.60835774101
99060211010343,06,02,11,060211,Fremont-Winema National Forest,Chemult Ranger District,422191.888,0.188991793622,4.31962009136
99060213010343,06,02,13,060213,Fremont-Winema National Forest,Klamath Ranger District,203475.185,0.0901737380875,2.12759195721
99061006010343,06,10,24,061024,Rogue River-Siskiyou National Forests,High Cascades Ranger District,459259.698,0.204217767704,4.0798755384
99060212010343,06,02,12,060212,Fremont-Winema National Forest,Chiloquin Ranger District,475568.026,0.211278491764,7.35614761803
99060601010343,06,06,01,060601,Mt. Hood National Forest,Barlow Ranger District,178500.587,0.0828552297934,1.90220559935
99060605010343,06,06,05,060605,Mt. Hood National Forest,Clackamas River Ranger District,407078.556,0.188083521922,2.78575775329
99061606010343,06,16,06,061606,Wallowa-Whitman National Forest,La Grande Ranger District,459055.44,0.212733608399,8.96324534041
99061601010343,06,16,01,061601,Wallowa-Whitman National Forest,Whitman Ranger District,667191.623,0.306959738158,11.1323555061
99061803010343,06,18,03,061803,Willamette National Forest,Sweet Home Ranger District,230829.262,0.105602314503,2.71529030488
99061105010343,06,10,28,061028,Rogue River-Siskiyou National Forests,Powers Ranger District,162340.063,0.0722424113841,2.26830018845
99061103010343,06,10,26,061026,Rogue River-Siskiyou National Forests,Gold Beach Ranger District,490521.69,0.21694324375,3.46329296883
99061102010343,06,10,22,061022,Rogue River-Siskiyou National Forests,Wild Rivers Ranger District,509254.031,0.224890930748,4.86822186441
8a72025c-b0a1-418c-a84e-c8af88d14d12,06,07,01,060701,Ochoco National Forest,Lookout Mountain Ranger District,355546.464,0.162395034849,3.26272241664
99060404010343,06,04,04,060404,Malheur National Forest,Prairie City Ranger District,390485.678,0.178090725198,2.95189353604
99061208010343,06,12,08,061208,Siuslaw National Forest,Central Coast Ranger District-ODNRA,655884.037,0.298681052253,10.7069542868
99060201010343,06,02,01,060201,Fremont-Winema National Forest,Bly Ranger District,504323.706,0.223240209211,5.43820663168
99041554010343,04,15,54,041554,Caribou-Targhee National Forest,Palisades Ranger District,473274.94,0.212733984165,3.81590216763
99040303010343,04,03,03,040303,Bridger-Teton National Forest,Greys River Ranger District,485101.506,0.216239772445,3.50876384448
99090704010343,09,07,04,090704,Ottawa National Forest,Kenton Ranger District,264040.3,0.125228822956,2.10751305748
99092105010343,09,21,05,092105,Monongahela National Forest,Potomac Ranger District,291552.116,0.122424099996,2.87001049554
99090905010343,09,09,05,090905,Superior National Forest,Kawishiwi Ranger District,718380.367,0.349696107224,4.13799574432
99061804010343,06,18,04,061804,Willamette National Forest,Detroit Ranger District,323869.188,0.14876814142,2.50713192982
99060606010343,06,06,06,060606,Mt. Hood National Forest,Hood River Ranger District,207901.601,0.0967707763666,3.14104834916
99060401010343,06,04,01,060401,Malheur National Forest,Blue Mountain Ranger District,744118.579,0.340291617878,9.13103063637
99061405010343,06,14,05,061405,Umatilla National Forest,North Fork John Day Ranger District,512458.49,0.236689261585,6.52067781179
99062104010343,06,21,04,062104,Colville National Forest,Republic Ranger District,244492.446,0.120921479945,5.25210401062
99062103010343,06,21,03,062103,Colville National Forest,Newport Ranger District,257738.56,0.126615744293,3.66820429904
99041908010343,04,19,08,041908,Uinta-Wasatch-Cache National Forest,Spanish Fork Ranger District,489193.067,0.208851266128,4.40531573811
99041702010343,04,17,02,041702,Humboldt-Toiyabe National Forest,Bridgeport Ranger District,1117279.955,0.466288731493,5.58393595174
99020406010343,02,04,06,020406,"Grand Mesa, Uncompahgre and Gunnison National Forests",Ouray Ranger District,364342.48,0.151746839361,4.0704734482
99020705010343,02,07,05,020705,Nebraska National Forest,Fall River Ranger District,806962.416,0.362341028027,6.37196591307
99030102010343,03,01,02,030102,Apache-Sitgreaves National Forests,Black Mesa Ranger District,616541.5,0.244775289459,3.44562103523
99050956010343,05,09,56,050956,Modoc National Forest,Doublehead Ranger District,569835.483,0.24957898326,4.38777881706
99051101010343,05,11,01,051101,Plumas National Forest,Beckwourth Ranger District,492610.713,0.210099842627,6.47724643588
99061602010343,06,16,02,061602,Wallowa-Whitman National Forest,Wallowa Valley Ranger District,356827.437,0.166587744159,5.47316136153
99080813010343,08,08,13,080813,George Washington and Jefferson National Forest,Glenwood and Pedlar Ranger Districts,446751.139,0.184748837801,4.55588254578
99080814010343,08,08,14,080814,George Washington and Jefferson National Forest,Mount Rogers National Recreation Area,424127.322,0.173397844407,7.00722444528
99080803010343,08,08,03,080803,George Washington and Jefferson National Forest,James River Ranger District,359368.977,0.148742895922,2.41299845795
99060502010343,06,05,02,060502,Mt. Baker-Snoqualmie National Forest,Darrington Ranger District,565321.014,0.276680169529,4.91819406244
99061707010343,06,17,07,061707,Okanogan-Wenatchee National Forest,Wenatchee River Ranger District,795896.626,0.386132840452,6.27385658532
99061704010343,06,17,04,061704,Okanogan-Wenatchee National Forest,Methow Valley Ranger District,1334630.618,0.658877040062,6.95142292017
99060803010343,06,21,09,062109,Colville National Forest,Tonasket Ranger District,398630.242,0.197190600684,7.78227370324
99061702010343,06,17,02,061702,Okanogan-Wenatchee National Forest,Chelan Ranger District,412358.031,0.201673634784,4.47932937081
99060402010343,06,04,02,060402,Malheur National Forest,Emigrant Creek Ranger District,651936.329,0.295435084812,6.12635529414
99062105010343,06,21,05,062105,Colville National Forest,Sullivan Lake Ranger District,304257.869,0.150705757876,3.39001214435
11010724,06,21,12,062112,Colville National Forest,Three Rivers Ranger District,547875.499,0.27083610519,7.92619069555
99060203010343,06,02,03,060203,Fremont-Winema National Forest,Paisley Ranger District,323464.915,0.143614736837,2.88882611483
99061506010343,06,15,06,061506,Umpqua National Forest,North Umpqua Ranger District,268046.063,0.120398758835,2.31427037027
99061801010343,06,18,01,061801,Willamette National Forest,McKenzie River Ranger District,520794.207,0.237065524885,4.52133112507
99061605010343,06,16,05,061605,Wallowa-Whitman National Forest,Eagle Cap Ranger District,391533.401,0.181629847603,3.20060559466
99080811010343,08,08,11,080811,George Washington and Jefferson National Forest,Eastern Divide Ranger District,776693.691,0.319520901709,7.89959292288
99080804010343,08,08,04,080804,George Washington and Jefferson National Forest,Lee Ranger District,301836.852,0.126740580677,4.01004596281
99080802010343,08,08,02,080802,George Washington and Jefferson National Forest,North River Ranger District,543118.992,0.226656461255,3.1896927229
99080608010343,08,06,08,080608,Kisatchie National Forest,Caney Ranger District,59464.119,0.0231750395811,1.43643568887
99080214010343,08,02,14,080214,Daniel Boone National Forest,London Ranger District,507308.505,0.208536569536,5.30660994007
99080217010343,08,02,17,080217,Daniel Boone National Forest,Redbird Ranger District,682149.695,0.280002973022,3.52465032757
99080211010343,08,02,11,080211,Daniel Boone National Forest,Cumberland Ranger District,473616.627,0.196471372153,5.41670512723
99080903010343,08,09,03,080903,Ouachita National Forest,Cold Springs Ranger District,192522.886,0.0768866135389,1.72124789391
99080906010343,08,09,06,080906,Ouachita National Forest,Kiamichi Ranger District,126353.337,0.0502834480813,2.17155492025
99080901010343,08,09,01,080901,Ouachita National Forest,Choctaw Ranger District,138918.474,0.0553675522047,2.03220627013
99080909010343,08,09,09,080909,Ouachita National Forest,Poteau Ranger District,241949.877,0.0964970297848,2.40433076323
99080911010343,08,09,11,080911,Ouachita National Forest,Winona Ranger District,158864.263,0.0633733079522,1.39099474021
99080908010343,08,09,08,080908,Ouachita National Forest,Oden Ranger District,227001.741,0.0904061972531,1.98685917739
99080905010343,08,09,05,080905,Ouachita National Forest,Jessieville Ranger District,248905.44,0.0991408652892,1.88644299506
99080912010343,08,09,12,080912,Ouachita National Forest,Tiak Ranger District,444936.434,0.175890760592,3.23961403971
99080907010343,08,09,07,080907,Ouachita National Forest,Mena Ranger District,246863.452,0.0981439581057,3.15760872829
99080910010343,08,09,10,080910,Ouachita National Forest,Womble Ranger District,248260.863,0.0986661348315,2.56117029144
99041907010343,04,19,07,041907,Uinta-Wasatch-Cache National Forest,Logan Ranger District,368949.682,0.161647170669,2.77985745622
99080601010343,08,06,01,080601,Kisatchie National Forest,Catahoula Ranger District,188377.981,0.0724298812113,1.48973434359
99080603010343,08,06,03,080603,Kisatchie National Forest,Kisatchie Ranger District,175685.477,0.0674771040745,1.23584334096
99080602010343,08,06,02,080602,Kisatchie National Forest,Calcasieu Ranger District,312685.71,0.119642674992,2.49133991777
99080604010343,08,06,04,080604,Kisatchie National Forest,Winn Ranger District,326794.784,0.12609895804,3.33885455775
99081601010343,08,16,01,081601,El Yunque National Forest,Catalina Field Office,55812.38,0.0193002120762,0.753808977646
99080216010343,08,02,16,080216,Daniel Boone National Forest,Stearns Ranger District,379986.66,0.15514750033,2.96694795518
99081301010343,08,13,01,081301,National Forests in Texas,Angelina Ranger District,398144.431,0.152518937743,3.73271508414
99080405010343,08,04,02,080402,Cherokee National Forest,Unaka Ranger District,342490.045,0.13857209348,3.42569516663
99080404010343,08,04,04,080404,Cherokee National Forest,Tellico Ranger District,216849.621,0.0870519987792,1.8154684196
99080403010343,08,04,03,080403,Cherokee National Forest,Ocoee Ranger District,240197.27,0.0961337279495,1.82321202649
99080406010343,08,04,06,080406,Cherokee National Forest,Watauga Ranger District,428755.69,0.174291494648,2.76389423285
6ec8aa15-61d4-4862-9b02-f2cfd4438ca7,08,01,06,080106,National Forests in Alabama,Talladega Ranger District,247901.559,0.0971488446418,1.88974794905
d0f415ae-d626-436b-aaee-788748f65395,08,09,04,080904,Ouachita National Forest,Fourche Ranger District,196852.113,0.0786049506246,2.81640378566
99081105010343,08,11,05,081105,National Forests in North Carolina,Grandfather Ranger District,429209.075,0.173514748396,4.10640907243
99081104010343,08,11,04,081104,National Forests in North Carolina,Appalachian Ranger District,464260.731,0.187572001077,6.00911743252
99080708010343,08,07,04,080704,National Forests in Mississippi,Homochitto Ranger District,380642.159,0.146149217344,4.16755775469
99080902010343,08,09,02,080902,Ouachita National Forest,Caddo Ranger District,252967.699,0.100380211437,2.54883354585
99081303010343,08,13,03,081303,National Forests in Texas,Davy Crockett Ranger District,389557.34,0.149364597926,3.5337881804
99081201010343,08,12,04,081204,Francis Marion and Sumter National Forests,Enoree Ranger District,396010.087,0.157354472554,1.92670070962
99081203010343,08,12,03,081203,Francis Marion and Sumter National Forests,Long Cane Ranger District,424106.822,0.167369839139,3.38935298097
99081202010343,08,12,02,081202,Francis Marion and Sumter National Forests,Andrew Pickens Ranger District,140435.85,0.0560195300577,1.92382334576
99081307010343,08,13,07,081307,National Forests in Texas,Sabine Ranger District,454542.492,0.174618105364,3.74046012154
99080707010343,08,07,07,080707,National Forests in Mississippi,Holly Springs Ranger District,529020.314,0.210378565546,3.21079806355
99080701010343,08,07,01,080701,National Forests in Mississippi,Bienville Ranger District,388390.316,0.150454833163,2.04322442604
99081110010343,08,11,10,081110,National Forests in North Carolina,Uwharrie Ranger District,219709.502,0.0882125709663,2.87434645596
99080107010343,08,01,07,080107,National Forests in Alabama,Tuskegee Ranger District,15649.829,0.00607499374635,0.508415665937
99080717010343,08,07,17,080717,National Forests in Mississippi,Tombigbee Ranger District,119539.477,0.0469947728925,1.80590638112
99081006010343,08,10,06,081006,Ozark-St. Francis National Forest,Magazine Mountain Ranger District,132419.596,0.0530416857285,1.67549596736
99081003010343,08,10,03,081003,Ozark-St. Francis National Forest,Bayou Ranger District,301014.619,0.121142370374,2.0459803791
99081002010343,08,10,02,081002,Ozark-St. Francis National Forest,Buffalo Ranger District,315733.151,0.127429408309,2.60251638359
99081005010343,08,10,05,081005,Ozark-St. Francis National Forest,Boston Mountain Ranger District,308962.603,0.124581870608,2.9779493468
99081001010343,08,10,01,081001,Ozark-St. Francis National Forest,Sylamore Ranger District,171622.465,0.0694719968281,1.62569248394
99081004010343,08,10,04,081004,Ozark-St. Francis National Forest,Pleasant Hill Ranger District,272012.544,0.109599931316,1.8956933438
99081205010343,08,12,05,081205,Francis Marion and Sumter National Forests,Wambaw/Witherbee Ranger District,420401.743,0.164452695646,2.42163632429
99080706010343,08,07,06,080706,National Forests in Mississippi,Delta Ranger District,120747.78,0.0470167840808,1.49411149754
99080705010343,08,07,05,080705,National Forests in Mississippi,Chickasawhay Ranger District,193938.982,0.0745068958577,1.47788910175
99081304010343,08,13,04,081304,National Forests in Texas,Sam Houston Ranger District,495319.369,0.188424320962,3.21379050307
99080104010343,08,01,04,080104,National Forests in Alabama,Oakmulgee Ranger District,329344.947,0.12836840133,2.61330523659
99080105010343,08,01,05,080105,National Forests in Alabama,Shoal Creek Ranger District,176550.779,0.0694993520202,2.30547790067
99081308010343,08,13,08,081308,National Forests in Texas,Caddo - Lyndon B. Johnson National Grasslands,183888.039,0.0721779642519,2.33647443194
99060305010343,06,03,05,060305,Gifford Pinchot National Forest,Cowlitz Valley Ranger District,653197.211,0.309974108063,6.03059430546
99060303010343,06,03,03,060303,Gifford Pinchot National Forest,Mt. Adams Ranger District,710549.599,0.33409992408,5.44067443016
99060301010343,06,03,01,060301,Gifford Pinchot National Forest,Mount St. Helens National Volcanic Monument,132561.077,0.0625845776946,2.00416164842
99061708010343,06,17,08,061708,Okanogan-Wenatchee National Forest,Naches Ranger District,560541.66,0.267382428899,3.40426592046
99060505010343,06,05,05,060505,Mt. Baker-Snoqualmie National Forest,Snoqualmie Ranger District,536774.289,0.258311310019,6.44625713472
99060202010343,06,02,02,060202,Fremont-Winema National Forest,Lakeview Ranger District,443737.618,0.195741904363,4.41958831369
99060204010343,06,02,04,060204,Fremont-Winema National Forest,Silver Lake Ranger District,443202.8,0.198281727023,3.21136495769
99061501010343,06,15,01,061501,Umpqua National Forest,Cottage Grove Ranger District,88730.257,0.0400666730443,1.03843434625
99061503010343,06,15,03,061503,Umpqua National Forest,Diamond Lake Ranger District,316631.983,0.142026944207,2.0785486758
99061810010343,06,18,05,061805,Willamette National Forest,Middle Fork Ranger District,725799.324,0.328077575804,3.30931671712
99061502010343,06,15,02,061502,Umpqua National Forest,Tiller Ranger District,362434.891,0.161866755403,2.63631392146
99060102010343,06,01,02,060102,Deschutes National Forest,Crescent Ranger District,410536.96,0.184822258147,3.23866011367
99060101010343,06,01,01,060101,Deschutes National Forest,Bend/Fort Rock Ranger District,1061746.112,0.480286937905,5.3815334432
99090504010343,09,05,04,090504,Mark Twain National Forest,Poplar Bluff Ranger District,339123.15,0.13888107683,2.00676340744
